source_dataset,source_row_id,property_family,governorate,delegation,city,location,surface_m2,rooms,bathrooms,price_tnd
property_prices_in_tunisia,153,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,165.0,3.0,1.0,1050000.0
property_prices_in_tunisia,155,apartment,Ariana,Ennasr,Ennasr,Ennasr,126.0,2.0,1.0,330000.0
property_prices_in_tunisia,156,house,Ariana,La Soukra,La Soukra,La Soukra,327.0,5.0,3.0,880000.0
property_prices_in_tunisia,157,house,Ariana,La Soukra,La Soukra,La Soukra,434.0,4.0,5.0,1800000.0
property_prices_in_tunisia,158,apartment,Ariana,La Soukra,La Soukra,La Soukra,278.0,3.0,3.0,750000.0
property_prices_in_tunisia,159,house,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,210.0,5.0,3.0,320000.0
property_prices_in_tunisia,160,apartment,Ariana,La Soukra,La Soukra,La Soukra,186.0,2.0,2.0,470000.0
property_prices_in_tunisia,161,apartment,Ariana,La Soukra,La Soukra,La Soukra,188.0,3.0,3.0,650000.0
property_prices_in_tunisia,164,apartment,Ariana,Ennasr,Ennasr,Ennasr,87.0,1.0,1.0,243000.0
property_prices_in_tunisia,166,apartment,Ariana,La Soukra,La Soukra,La Soukra,165.0,3.0,3.0,650000.0
property_prices_in_tunisia,169,apartment,Ariana,Jardins D'el Menzah,Jardins D'el Menzah,Jardins D'el Menzah,130.0,4.0,2.0,285000.0
property_prices_in_tunisia,173,apartment,Ariana,Ennasr,Ennasr,Ennasr,60.0,1.0,1.0,180000.0
property_prices_in_tunisia,181,apartment,Ariana,Ennasr,Ennasr,Ennasr,75.0,1.0,1.0,190000.0
property_prices_in_tunisia,189,apartment,Ariana,Ariana Ville,Ariana Ville,Ariana Ville,138.0,3.0,2.0,295000.0
property_prices_in_tunisia,199,apartment,Ariana,Chotrana,Chotrana,Chotrana,72.0,1.0,1.0,160000.0
property_prices_in_tunisia,200,house,Ariana,Ariana,Ariana,Ariana,260.0,4.0,2.0,490000.0
property_prices_in_tunisia,201,apartment,Ariana,Chotrana,Chotrana,Chotrana,62.0,2.0,1.0,109000.0
