id_annonce;source_dataset;titre;type_bien;type_transaction;prix_tnd;prix_texte_brut;gouvernorat;ville;quartier;adresse_brute;surface_habitable_m2;surface_terrain_m2;nb_pieces;nb_chambres;nb_salles_bain;meuble;terrasse;securite;latitude;longitude;zone_littorale;moyens_paiement;telephone;date_publication;date_extraction;url_annonce;log_prix;piscine;garage;climatisation;jardin
24087;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;280000.0;Non précisé;Tunis;El Menzah;El Menzah;Non précisé;125.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;29/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24097;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;800000.0;Non précisé;Tunis;Ain Zaghouan;Ain Zaghouan;Non précisé;300.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;08/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24103;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;170000.0;Non précisé;Ben Arous;Rades;Rades;Non précisé;100.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;13/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24111;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;900000.0;Non précisé;Tunis;La Marsa;La Marsa;Non précisé;94.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;14/04/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24119;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;235000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;94.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;18/07/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24123;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;150000.0;Non précisé;Ben Arous;Megrine;Megrine;Non précisé;98.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;29/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24124;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;570000.0;Non précisé;Tunis;Ain Zaghouan;Ain Zaghouan;Non précisé;170.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;13/07/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24128;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;193000.0;Non précisé;Nabeul;Kelibia;Kelibia;Non précisé;218.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;26/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24143;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;310000.0;Non précisé;Tunis;La Marsa;La Marsa;Non précisé;140.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;25/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24144;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;370000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;150.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;18/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24154;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;290000.0;Non précisé;Nabeul;Hammamet;Hammamet;Non précisé;80.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;20/11/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24158;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;330000.0;Non précisé;Nabeul;Hammamet;Hammamet;Non précisé;115.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;15/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24160;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;180000.0;Non précisé;Nabeul;Nabeul;Nabeul;Non précisé;210.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;12/09/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24162;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;170000.0;Non précisé;Ben Arous;El Mourouj;El Mourouj;Non précisé;98.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;28/02/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24165;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;165000.0;Non précisé;Ben Arous;Nouvelle Medina;Nouvelle Medina;Non précisé;795.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;31/10/2023;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
24166;kaggle_tunisia_real_estate;Non précisé;appartement;Vente;215000.0;Non précisé;Ariana;Ariana Ville;Ariana Ville;Non précisé;111.0;Non précisé;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non précisé;Non précisé;Non précisé;Non précisé;Non précisé;18/11/2021;Non précisé;Non précisé;Non précisé;Non;Non;Non;Non
