property_type,bedrooms,bathrooms,surface_m2,price,city,neighborhood,log_price
Villa,2.0,1.0,110.0,115000.0,Ariana,Autres villes,5.060697840353612
Apartment,1.0,1.0,72.0,160000.0,Ariana,Chotrana,5.204119982655925
Villa,4.0,2.0,260.0,490000.0,Ariana,Ariana,5.690196080028514
Apartment,2.0,1.0,62.0,109000.0,Ariana,Chotrana,5.037426497940624
Villa,4.0,1.0,260.0,650000.0,Ariana,La Soukra,5.812913356642856
Apartment,3.0,1.0,85.0,150000.0,Ariana,Borj Louzir,5.176091259055681
Apartment,2.0,1.0,52.0,85000.0,Ariana,Ariana,4.929418925714293
Apartment,3.0,2.0,120.0,245000.0,Ariana,Ariana,5.389166084364533
Apartment,3.0,2.0,153.0,339000.0,Ariana,Ariana,5.5301996982030825
Apartment,2.0,1.0,115.0,168000.0,Ariana,Ghazela,5.225309281725863
Villa,3.0,2.0,609.0,540000.0,Ariana,Ariana,5.732393759822968
Villa,3.0,2.0,161.0,370000.0,Ariana,Ariana,5.568201724066995
Apartment,3.0,1.0,100.0,125000.0,Ariana,Raoued,5.096910013008056
Apartment,2.0,1.0,70.0,230000.0,Ariana,Ariana,5.361727836017593
Villa,3.0,4.0,1078.0,1700000.0,Ariana,Ariana,6.230448921378274
Apartment,3.0,2.0,125.0,210000.0,Ariana,Ghazela,5.32221929473392
Villa,3.0,2.0,400.0,650000.0,Ariana,Ghazela,5.812913356642856
Villa,4.0,2.0,410.0,530000.0,Ariana,Ghazela,5.724275869600789
Villa,4.0,2.0,120.0,175000.0,Ariana,Ghazela,5.243038048686294
Apartment,4.0,2.0,157.0,441000.0,Ariana,Ennasr,5.644438589467838
Apartment,3.0,2.0,187.0,570000.0,Ariana,La Soukra,5.755874855672492
Apartment,1.0,1.0,57.0,145000.0,Ariana,Jardins D'el Menzah,5.161368002234975
Villa,5.0,3.0,327.0,840000.0,Ariana,La Soukra,5.924279286061882
Apartment,2.0,2.0,126.0,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Villa,5.0,3.0,220.0,480000.0,Ariana,Ghazela,5.681241237375588
Apartment,3.0,2.0,163.0,340000.0,Ariana,Ennasr,5.531478917042255
Apartment,2.0,1.0,105.0,220000.0,Ariana,Ennasr,5.342422680822207
Apartment,4.0,1.0,153.0,360000.0,Ariana,Ariana,5.556302500767287
Apartment,2.0,1.0,120.0,230000.0,Ariana,Jardins D'el Menzah,5.361727836017593
Villa,5.0,4.0,380.0,760000.0,Ariana,La Soukra,5.880813592280791
Apartment,2.0,1.0,100.0,90000.0,Ariana,Borj Louzir,4.954242509439325
Apartment,3.0,2.0,140.0,290000.0,Ariana,La Soukra,5.4623979978989565
Apartment,4.0,2.0,170.0,295000.0,Ariana,Ennasr,5.469822015978163
